|학년|학기|교과이론|교과이론명|SCORE||"학습완료
실패0 완료1"|"정답(-1)
실수 (1) , 공란(0)"
|||||맞음|틀림||
STEP1|7|1|078|문자를 사용한 식 - 자연수, 단위, 금액|4|4|1|1
||||||||0
||||||||-1
||||||||0
||||||||0
STEP2|7|1|078|문자를 사용한 식 - 자연수, 단위, 금액|4|4|1|-1
||||||||1
||||||||0
||||||||0
||||||||0
STEP3|7|1|078|문자를 사용한 식 - 자연수, 단위, 금액|4|4|1|0
|8|1|377|일차부등식의 풀이|3|3||0
|8|1|380|계수가 분수 또는 소수인 경우|4|4||0
||||||||1
||||||||-1
STEP4|7|1|078|문자를 사용한 식 - 자연수, 단위, 금액|4|4|1|0
|8|1|377|일차부등식의 풀이|3|3||1
|8|1|380|계수가 분수 또는 소수인 경우|4|4||-1
|8|1|390|일차부등식 활용 - 유리한 선택|5|5||0
||||||||0
