|학년|학기|교과이론|교과이론명|SCORE||"학습완료
실패0 완료1"|"정답(-1)
실수 (1) , 공란(0)"
|||||맞음|틀림||
STEP1|7|1|089|일차식과 수의 곱셈, 나눗셈|4|4|1|-1
|7|1|125|일차방 활용 - 거리, 속력, 시간|10|10||0
||||||||0
||||||||0
||||||||1
STEP2|7|1|089|일차식과 수의 곱셈, 나눗셈|4|4|1|0
|7|1|125|일차방 활용 - 거리, 속력, 시간|10|10||-1
||||||||0
||||||||0
||||||||1
STEP3|7|1|089|일차식과 수의 곱셈, 나눗셈|4|4|1|0
|7|1|125|일차방 활용 - 거리, 속력, 시간|10|10||0
|8|1|392|미지수가 2개 일차방|2|2||1
||||||||-1
||||||||0
STEP4|7|1|089|일차식과 수의 곱셈, 나눗셈|4|4|1|0
|7|1|125|일차방 활용 - 거리, 속력, 시간|10|10||0
|8|1|392|미지수가 2개 일차방|2|2||-1
|8|1|403|계수가 분수인 경우|4|4||1
|8|1|424|연립방 활용 - 거리, 속력, 시간|6|6||0
||||||||
